sale_date,sale_price,h3_index,gross_square_feet,year_built,building_age,residential_units,total_units,distance_to_center_km,borough,building_class,property_segment,price_tier,neighborhood,h3_price_lag,predicted_price,prediction_error,abs_pct_error
2024-06-26 03:19:31.953255456,2991300,882a100d23fffff,1012.184933877712,1993,32,3.0,4.0,19.726869171080413,5,S2,SMALL_MULTI,luxury,HARLEM,2611442.0,2926225.2,-65074.75,0.0217546718817905
2024-06-29 20:21:14.123539264,2870150,882a100d2dfffff,1067.2095385929422,1950,75,5.0,6.0,8.524924725372278,1,S2,ELEVATOR,core,PARK_SLOPE,2658528.0,2552325.2,-317824.75,0.1107345434907583
2024-07-03 13:22:56.293823040,2936772,882a100d2dfffff,1639.117523705119,2014,11,,1.0,7.674222178735973,4,S2,SINGLE_FAMILY,core,HARLEM,2658528.0,2913506.8,-23265.25,0.0079220484259588
2024-07-07 06:24:38.464106848,3079181,882a100d23fffff,1613.3044997740865,1960,65,1.0,1.0,27.94377326451964,3,D4,ELEVATOR,premium,HARLEM,2611442.0,2907625.2,-171555.75,0.0557147338854065
2024-07-10 23:26:20.634390656,2439258,882a100d61fffff,639.427180599127,1996,29,5.0,6.0,24.056262115740992,4,C6,ELEVATOR,core,CHELSEA,2680327.0,2369815.2,-69442.75,0.0284688007582633
2024-07-14 16:28:02.804674464,2525694,882a100d2dfffff,1224.720349949932,1939,86,3.0,3.0,11.54067135062598,1,S2,SINGLE_FAMILY,core,HARLEM,2658528.0,2517468.5,-8225.5,0.0032567286456712
2024-07-18 09:29:44.974958272,2881036,882a100d23fffff,880.6890653628723,1954,71,2.0,4.0,27.45126157729868,4,S2,SINGLE_FAMILY,luxury,MIDTOWN,2611442.0,2832997.2,-48038.75,0.0166741234750277
2024-07-22 02:31:27.145242080,2166428,882a100d23fffff,633.6727901960994,1988,37,1.0,1.0,18.27314761105414,4,C6,ELEVATOR,entry,WILLIAMSBURG,2611442.0,2148239.8,-18188.25,0.0083955017198817
2024-07-25 19:33:09.315525888,2436691,882a1072b9fffff,1102.3423273090334,1921,104,2.0,2.0,20.82822416225733,5,A1,WALKUP,premium,WILLIAMSBURG,2689682.0,2514283.8,77592.75,0.0318434918502181
2024-07-29 12:34:51.485809696,2734713,882a100d61fffff,1061.1827451948811,1947,78,2.0,2.0,1.0760625976854823,4,S2,ELEVATOR,premium,ASTORIA,2680327.0,2680654.5,-54058.5,0.0197675222226244
2024-08-02 05:36:33.656093504,3567936,882a1072b9fffff,2292.022418855485,2017,8,1.0,1.0,3.580626209875988,3,D4,WALKUP,luxury,FLUSHING,2689682.0,3428214.8,-139721.25,0.0391602455873648
2024-08-05 22:38:15.826377312,3242165,882a100d61fffff,1394.8319214123132,2001,24,5.0,6.0,17.799766516595426,3,R4,ELEVATOR,luxury,PARK_SLOPE,2680327.0,3136177.2,-105987.75,0.0326904244540299
